mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__imputer__strategy,param_preprocessor__cat__selector__percentile,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012142801284790039,0.0013478402514598964,0.004505538940429687,0.0006704268143202965,median,30,1.0,"{'preprocessor__num__imputer__strategy': 'median', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 1.0}",0.8,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7850626566416039,0.030498446034452353,2
0.010072708129882812,0.0019269587340660598,0.003882312774658203,0.0004931000373859818,mean,70,10,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 70, 'classifier__C': 10}",0.8,0.8,0.7511961722488039,0.7559808612440191,0.7942583732057417,0.7802870813397129,0.02195207802325693,6
0.007952260971069335,0.0004018129477479322,0.0033559322357177733,0.0004745858787441965,mean,30,1.0,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 1.0}",0.8,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7850626566416039,0.030498446034452353,2
0.007783651351928711,0.00015553760046444138,0.0034793853759765626,0.00042921009219640705,mean,30,0.1,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 0.1}",0.8,0.8095238095238095,0.7511961722488039,0.7416267942583732,0.8133971291866029,0.7831487810435179,0.030461821575258893,5
0.007748985290527343,9.07405701795575e-05,0.0037713050842285156,0.00047797760482296367,mean,10,10,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 10, 'classifier__C': 10}",0.8,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7850626566416039,0.030498446034452353,2
0.00811467170715332,0.0004709873093680594,0.0033365726470947266,0.00043677223288478284,mean,70,1.0,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 70, 'classifier__C': 1.0}",0.8,0.8,0.7511961722488039,0.7559808612440191,0.7942583732057417,0.7802870813397129,0.02195207802325693,6
0.007756233215332031,0.00047773883921199293,0.0032493114471435548,0.0003506258751416976,mean,50,100,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 50, 'classifier__C': 100}",0.7952380952380952,0.8,0.7559808612440191,0.7511961722488039,0.7942583732057417,0.7793347003873319,0.021165382844569727,8
0.007904863357543946,0.00038564880179462943,0.003437662124633789,0.0003768608081727866,mean,30,100,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 100}",0.8047619047619048,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7860150375939849,0.031019919584319613,1
0.008063602447509765,0.000438857652999851,0.0029018402099609377,0.0006357000030704437,mean,50,10,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 50, 'classifier__C': 10}",0.7952380952380952,0.8,0.7559808612440191,0.7464114832535885,0.7942583732057417,0.7783777625882888,0.022483104615078076,9
0.00843048095703125,0.0004059593690060461,0.003339719772338867,0.0005590048948505229,median,50,1.0,"{'preprocessor__num__imputer__strategy': 'median', 'preprocessor__cat__selector__percentile': 50, 'classifier__C': 1.0}",0.7952380952380952,0.7952380952380952,0.7559808612440191,0.7464114832535885,0.7942583732057417,0.7774253816359079,0.021631756676905176,10
