mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__imputer__strategy,param_preprocessor__cat__selector__percentile,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0129730224609375,0.002011805403268742,0.00490875244140625,0.00019430528526607048,median,30,1.0,"{'preprocessor__num__imputer__strategy': 'median', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 1.0}",0.8,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7850626566416039,0.030498446034452353,2
0.010453176498413087,0.0011611247637395964,0.004067277908325196,0.0006813412441186037,mean,70,10,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 70, 'classifier__C': 10}",0.8,0.8,0.7511961722488039,0.7559808612440191,0.7942583732057417,0.7802870813397129,0.02195207802325693,6
0.010100841522216797,0.0007997011656403178,0.0042092323303222655,0.000652791138892625,mean,30,1.0,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 1.0}",0.8,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7850626566416039,0.030498446034452353,2
0.008363628387451172,0.0004760042927813289,0.0034716129302978516,0.0005833061271082646,mean,30,0.1,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 0.1}",0.8,0.8095238095238095,0.7511961722488039,0.7416267942583732,0.8133971291866029,0.7831487810435179,0.030461821575258893,5
0.008746099472045899,0.0005217476139828759,0.003202199935913086,0.0006793162132769318,mean,10,10,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 10, 'classifier__C': 10}",0.8,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7850626566416039,0.030498446034452353,2
0.009216785430908203,0.0008111655720668225,0.00319819450378418,0.00024264168852131072,mean,70,1.0,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 70, 'classifier__C': 1.0}",0.8,0.8,0.7511961722488039,0.7559808612440191,0.7942583732057417,0.7802870813397129,0.02195207802325693,6
0.009425973892211914,0.001210383248393641,0.0040321826934814455,0.000529770726647955,mean,50,100,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 50, 'classifier__C': 100}",0.7952380952380952,0.8,0.7559808612440191,0.7511961722488039,0.7942583732057417,0.7793347003873319,0.021165382844569727,8
0.009944629669189454,0.0010839614253746663,0.004942846298217773,0.0010044480671273527,mean,30,100,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 30, 'classifier__C': 100}",0.8047619047619048,0.8095238095238095,0.7559808612440191,0.7416267942583732,0.8181818181818182,0.7860150375939849,0.031019919584319613,1
0.00910654067993164,0.00046325478667973244,0.0036993026733398438,0.00037760186302789907,mean,50,10,"{'preprocessor__num__imputer__strategy': 'mean', 'preprocessor__cat__selector__percentile': 50, 'classifier__C': 10}",0.7952380952380952,0.8,0.7559808612440191,0.7464114832535885,0.7942583732057417,0.7783777625882888,0.022483104615078076,9
0.009387397766113281,0.0003740917912259167,0.0037774085998535157,0.0004657674626040578,median,50,1.0,"{'preprocessor__num__imputer__strategy': 'median', 'preprocessor__cat__selector__percentile': 50, 'classifier__C': 1.0}",0.7952380952380952,0.7952380952380952,0.7559808612440191,0.7464114832535885,0.7942583732057417,0.7774253816359079,0.021631756676905176,10
